"filename", "language", "Markdown", "Ignore", "Properties", "JavaScript", "XML", "SCSS", "JavaScript JSX", "CSS", "JSON", "HTML", "Docker", "comment", "blank", "total"
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\.dockerignore", "Ignore", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\.eslintrc.cjs", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 9, 23
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\nginx\nginx.conf", "Properties", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 43
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 39077, 0, 0, 0, 1, 39078
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 1, 50
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\public\image\logo.svg", "XML", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\public\image\roomService_checked.svg", "XML", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 2, 25
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\public\image\roomService_cleanRoom.svg", "XML", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 2, 44
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\public\image\roomService_cleaning.svg", "XML", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 2, 50
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\public\image\roomService_repair.svg", "XML", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 2, 42
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\public\image\services_without.svg", "XML", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\public\image\vip.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\public\image\x1.svg", "XML", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\public\image\x2.svg", "XML", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\public\image\x3.svg", "XML", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Layout\Layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 298, 0, 0, 0, 0, 22, 28, 348
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Layout\Layout.scss", "SCSS", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 4, 22
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Layout\WrapperLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 2, 24
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Deal\DealCreate.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 263, 0, 0, 0, 0, 25, 10, 298
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Deal\DealInfoModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 4, 47
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Deal\DealPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 340, 0, 0, 0, 0, 33, 18, 391
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Deal\DealPage.scss", "SCSS", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Employee\AllEmployee.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 2, 4, 111
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Employee\Employee.scss", "SCSS", 0, 0, 0, 0, 0, 140, 0, 0, 0, 0, 0, 7, 21, 168
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Employee\EmployeeCreate.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 227, 0, 0, 0, 0, 3, 4, 234
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Employee\SсheduleEmployee.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 197, 0, 0, 0, 0, 0, 3, 200
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Employee\TaskEmployee\TaskEmployee.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 4, 4, 60
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Employee\TaskEmployee\components\ConfirmModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 3, 20
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Employee\TaskEmployee\components\TaskAdmin\AdminListComplaintModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 3, 85
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Employee\TaskEmployee\components\TaskAdmin\AdminReferenceModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 2, 60
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Employee\TaskEmployee\components\TaskAdmin\CardEmployee.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 1, 22
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Employee\TaskEmployee\components\TaskAdmin\DataAdminListCancelReservation.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 5, 3, 53
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Employee\TaskEmployee\components\TaskAdmin\DataAdminListСomplaint.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 3, 2, 52
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Employee\TaskEmployee\components\TaskAdmin\ListTaskAdmin.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 3, 20
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Employee\TaskEmployee\components\TaskCleaner\ContentAddEmployeeTask.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 4, 65
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Employee\TaskEmployee\components\TaskCleaner\DataCleanerListTask.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 3, 48
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Employee\TaskEmployee\components\TaskCleaner\ListItemTask.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 2, 5, 64
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Employee\TaskEmployee\components\TaskCleaner\ListTaskCleaner.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 4, 24
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Employee\TaskEmployee\components\TaskCleaner\ManualAddTaskCleaner.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 3, 28
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Frontdesk\FrontdeskCreate.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 144, 0, 0, 0, 0, 9, 11, 164
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Frontdesk\FrontdeskPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 10, 8, 122
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Frontdesk\FrontdeskPage.scss", "SCSS", 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 22, 114
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Frontdesk\SelectRateModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 9, 91
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Frontdesk\StepOne.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 379, 0, 0, 0, 0, 22, 20, 421
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Frontdesk\StepSecond.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 158, 0, 0, 0, 0, 1, 7, 166
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Frontdesk\StepThird.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 0, 7, 149
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Guest\GuestPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 309, 0, 0, 0, 0, 17, 14, 340
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Guest\GuestPage.scss", "SCSS", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Home\HomePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 5, 62
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Home\HomePage.scss", "SCSS", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Login\LoginPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 118, 0, 0, 0, 0, 14, 11, 143
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Login\LoginPage.scss", "SCSS", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 6, 45
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Overview\OverviewPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 227, 0, 0, 0, 0, 4, 8, 239
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Overview\OverviewPage.scss", "SCSS", 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 22, 113
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Overview\optionsCharts.js", "JavaScript", 0, 0, 0, 195, 0, 0, 0, 0, 0, 0, 0, 0, 6, 201
