Date : 2024-05-29 09:16:19
Directory : p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee
Total : 149 files,  67701 codes, 426 comments, 4861 blanks, all 72988 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JSON           |          2 |     39,126 |          0 |          2 |     39,128 |
| CSS            |          6 |     16,987 |         59 |      4,016 |     21,062 |
| JavaScript JSX |         71 |      7,835 |        342 |        461 |      8,638 |
| JavaScript     |         39 |      2,579 |         17 |        209 |      2,805 |
| SCSS           |         16 |        808 |          8 |        142 |        958 |
| XML            |         10 |        297 |          0 |         14 |        311 |
| Properties     |          1 |         37 |          0 |          6 |         43 |
| Docker         |          1 |         14 |          0 |          9 |         23 |
| HTML           |          1 |         13 |          0 |          1 |         14 |
| Ignore         |          1 |          5 |          0 |          0 |          5 |
| Markdown       |          1 |          0 |          0 |          1 |          1 |
+----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                            |        149 |     67,701 |        426 |      4,861 |     72,988 |
| . (Files)                                                                                                                                                    |          8 |     39,209 |          0 |         18 |     39,227 |
| nginx                                                                                                                                                        |          1 |         37 |          0 |          6 |         43 |
| public                                                                                                                                                       |         10 |        297 |          0 |         14 |        311 |
| public\image                                                                                                                                                 |         10 |        297 |          0 |         14 |        311 |
| src                                                                                                                                                          |        130 |     28,158 |        426 |      4,823 |     33,407 |
| src (Files)                                                                                                                                                  |          1 |         15 |          0 |          2 |         17 |
| src\Layout                                                                                                                                                   |          3 |        337 |         23 |         34 |        394 |
| src\Pages                                                                                                                                                    |         82 |      8,416 |        315 |        562 |      9,293 |
| src\Pages (Files)                                                                                                                                            |          1 |          6 |          0 |          2 |          8 |
| src\Pages\Deal                                                                                                                                               |          4 |        659 |         58 |         35 |        752 |
| src\Pages\Employee                                                                                                                                           |         17 |      1,216 |         26 |         72 |      1,314 |
| src\Pages\Employee (Files)                                                                                                                                   |          4 |        669 |         12 |         32 |        713 |
| src\Pages\Employee\TaskEmployee                                                                                                                              |         13 |        547 |         14 |         40 |        601 |
